Shaknspin W&F meter
Session:;trchnics 1500.CSV
Device:;6985321910C4EB9E-058
Avg Speed:;33.385
Avg Speed Dev:;00.17%
Var. Min:;33.31
Var. Max:;33.46
Var. Min%:;-0.235%
Var. Max%:;+0.233%
HighPass Min:;33.31
HighPass Max:;33.47
W&F peak:;0.097
W&F peak 2s:;0.088
W&F DIN:;0.035
W&F WRMS:;0.007
W&F RMS:;0.02
Jitter%:;0.230
Wow:;0.05
Flutter:;0.02
Freq1 (Hz):;00.610
Freq2 (Hz):;03.662

Speed trace (de-noised) in 2mS intervals
Frequency in Hz

Time;Speed;Freq;Magnitude
412;33.363;25.391;00.1
414;33.378;25.513;00.073
416;33.379;25.635;00.024
418;33.382;25.757;00.011
420;33.403;25.879;00.046
422;33.409;26.001;00.037
424;33.375;26.123;00.117
426;33.379;26.245;00.083
428;33.409;26.367;00.059
430;33.406;26.489;00.088
432;33.397;26.611;00.061
434;33.396;26.733;00.062
436;33.407;26.855;00.024
438;33.406;26.978;00.031
440;33.378;27.1;00.054
442;33.381;27.222;00.14
444;33.39;27.344;00.07
446;33.396;27.466;00.115
448;33.396;27.588;00.131
450;33.398;27.71;00.037
452;33.379;27.832;00.076
454;33.384;27.954;00.072
456;33.384;28.076;00.011
458;33.352;28.198;00.029
460;33.363;28.32;00.059
462;33.384;28.442;00.052
464;33.382;28.564;00.063
466;33.356;28.687;00.02
468;33.359;28.809;00.07
470;33.365;28.931;00.073
472;33.39;29.053;00.1
474;33.365;29.175;00.103
476;33.377;29.297;00.061
478;33.397;29.419;00.032
480;33.375;29.541;00.027
482;33.366;29.663;00.017
484;33.353;29.785;00.033
486;33.353;29.907;00.087
488;33.363;30.029;00.036
490;33.356;30.151;00.023
492;33.39;30.273;00.055
494;33.391;30.396;00.066
496;33.385;30.518;00.03
498;33.39;30.64;00.02
500;33.404;30.762;00.061
502;33.379;30.884;00.024
504;33.369;31.006;00.054
506;33.397;31.128;00.095
508;33.385;31.25;00.046
510;33.35;31.372;00.088
512;33.356;31.494;00.104
514;33.363;31.616;00.03
516;33.372;31.738;00.13
518;33.371;31.86;00.081
520;33.379;31.982;00.028
522;33.346;32.104;00.046
524;33.371;32.227;00.031
526;33.355;32.349;00.058
528;33.359;32.471;00.099
530;33.365;32.593;00.074
532;33.378;32.715;00.031
534;33.369;32.837;00.034
536;33.381;32.959;00.057
538;33.365;33.081;00.058
540;33.377;33.203;00.054
542;33.343;33.325;00.055
544;33.35;33.447;00.088
546;33.327;33.569;00.069
548;33.34;33.691;00.091
